condition,permutation_seed,auc_mean_delta,auc_ci95_low,auc_ci95_high,final_mean_delta,final_ci95_low,final_ci95_high,top10_mean_delta,top10_ci95_low,top10_ci95_high,wins,ties,losses
permuted_source_outcomes_98187,98187,-0.04453779234935231,-0.1604987640452584,0.07142317934655376,-0.3627034777602078,-0.6028648180282588,-0.12254213749215681,-0.15,-0.22565445102302942,-0.07434554897697057,48,12,40
permuted_source_outcomes_98188,98188,-0.2442975553701282,-0.341373672345751,-0.1472214383945054,-0.6628173248789366,-0.8998676038125619,-0.4257670459453114,-0.16,-0.23221677803878427,-0.08778322196121575,21,19,60
permuted_source_outcomes_98189,98189,0.301137406316805,0.18406573744194182,0.4182090751916682,0.785636768697277,0.49036855283389646,1.0809049845606578,0.22,0.11362679763296499,0.32637320236703504,63,10,27
permuted_source_outcomes_98190,98190,-0.0647604983295163,-0.1676075447682648,0.038086548109232204,-0.3024897355371663,-0.5236899035977511,-0.08128956747658142,-0.13,-0.20707722481938867,-0.05292277518061134,44,13,43
permuted_source_outcomes_98191,98191,-0.03882595936395674,-0.160459311037299,0.0828073923093855,-0.33984362376862143,-0.600965522530108,-0.07872172500713487,-0.14,-0.21889339694047966,-0.061106603059520384,44,16,40
permuted_source_outcomes_98192,98192,0.1456661533851894,0.03176431941103981,0.259567987359339,-0.06183125645386662,-0.31009160627249405,0.1864290933647608,-0.16,-0.23221677803878427,-0.08778322196121575,57,13,30
permuted_source_outcomes_98193,98193,0.15435057458103998,0.031515452658748236,0.27718569650333175,-0.18739842711049667,-0.4243203992803515,0.04952354505935813,-0.16,-0.23221677803878427,-0.08778322196121575,60,12,28
permuted_source_outcomes_98194,98194,0.05455247392337082,-0.07030994470536658,0.17941489255210824,-0.22111039204575011,-0.4664793118014805,0.024258527709980243,-0.11,-0.1831510572153074,-0.036848942784692626,53,15,32
permuted_source_outcomes_98195,98195,-0.05332009811823516,-0.1584317959037841,0.051791599667313774,-0.34560573166680597,-0.5747004221162165,-0.11651104121739539,-0.16,-0.23221677803878427,-0.08778322196121575,44,16,40
permuted_source_outcomes_98196,98196,-0.15395756138320393,-0.2538269042827427,-0.0540882184836652,-0.5183495913784131,-0.7551135070855088,-0.28158567567131726,-0.16,-0.23221677803878427,-0.08778322196121575,35,18,47
permuted_source_outcomes_98197,98197,-0.14926661674308458,-0.2584807481712881,-0.04005248531488112,-0.4129584625118054,-0.6721098655993445,-0.15380705942426637,-0.15,-0.22565445102302942,-0.07434554897697057,34,13,53
permuted_source_outcomes_98198,98198,-0.014874095320480793,-0.12699040392936492,0.09724221328840332,-0.40249826959187457,-0.6451693831836136,-0.15982715600013547,-0.16,-0.23221677803878427,-0.08778322196121575,51,15,34
true_source_outcomes,,0.38912739519431405,0.27415701093216654,0.5040977794564615,0.16213616892662905,-0.0666466989712641,0.3909190368245222,-0.13,-0.20707722481938867,-0.05292277518061134,72,9,19
