dataset,mode,seed,final_best,best_so_far_auc,simple_regret,top10_hit,intervention_count,bad_intervention_count,rejected_good_challenger_count,transfer_active_rounds,transfer_scored_candidates_total,source_observation_count,mean_transfer_confidence,hypothesis_confidence,hypothesis_support_count
real_suzuki_miyaura,incumbent,25,100.0,100.0,0.0,1,0,0,0,0,0,48,0.3864,0.5,0
real_suzuki_miyaura,target_local_no_gate,25,100.0,100.0,0.0,1,0,0,0,0,0,48,0.3864,0.5,0
real_suzuki_miyaura,target_local_gate_v1,25,100.0,100.0,0.0,1,0,0,0,0,0,48,0.3864,0.5,0
real_suzuki_miyaura,transfer_no_gate,25,100.0,100.0,0.0,1,2,2,0,7,34611,48,0.3864,0.5,0
real_suzuki_miyaura,transfer_gate_v1,25,100.0,100.0,0.0,1,2,2,0,7,34611,48,0.3864,0.5,0
real_suzuki_miyaura,transfer_plus_local_gate_v1,25,100.0,100.0,0.0,1,2,2,0,7,34226,48,0.3864,0.5,0
real_suzuki_miyaura,no_care_random,26,68.6446,68.6446,31.3554,0,0,0,0,0,0,48,0.3981,0.5,0
real_suzuki_miyaura,incumbent,26,93.7818,87.5551,6.2182,0,0,0,0,0,0,48,0.3981,0.5,0
real_suzuki_miyaura,target_local_no_gate,26,93.7818,87.5551,6.2182,0,0,0,0,0,0,48,0.3981,0.5,0
real_suzuki_miyaura,target_local_gate_v1,26,93.7818,87.5551,6.2182,0,0,0,0,0,0,48,0.3981,0.5,0
real_suzuki_miyaura,transfer_no_gate,26,93.7818,87.5551,6.2182,0,0,0,0,7,23156,48,0.3981,0.5,0
real_suzuki_miyaura,transfer_gate_v1,26,93.7818,87.5551,6.2182,0,0,0,0,7,23156,48,0.3981,0.5,0
real_suzuki_miyaura,transfer_plus_local_gate_v1,26,93.7818,87.5551,6.2182,0,0,0,0,7,23156,48,0.3981,0.5,0
real_suzuki_miyaura,no_care_random,27,89.3539,83.941,10.6461,0,0,0,0,0,0,48,0.3871,0.5,0
real_suzuki_miyaura,incumbent,27,94.7131,84.2313,5.2869,0,0,0,0,0,0,48,0.3871,0.5,0
real_suzuki_miyaura,target_local_no_gate,27,94.7131,84.2313,5.2869,0,0,0,0,0,0,48,0.3871,0.5,0
real_suzuki_miyaura,target_local_gate_v1,27,94.7131,84.2313,5.2869,0,0,0,0,0,0,48,0.3871,0.5,0
real_suzuki_miyaura,transfer_no_gate,27,94.7131,84.2313,5.2869,0,0,0,0,7,30477,48,0.3871,0.5,0
